datetime,CHW,MTHW,CHW_on,MTHW_on,simul
2023-01-03 03:00:00,733.89,895.5,True,True,True
2023-01-05 02:00:00,783.92,759.17,True,True,True
2023-01-05 03:00:00,718.05,887.7,True,True,True
2023-01-05 04:00:00,872.2,845.98,True,True,True
2023-01-05 06:00:00,818.43,770.35,True,True,True
2023-01-10 03:00:00,1040.7,1084.71,True,True,True
2023-01-10 09:00:00,945.37,761.3,True,True,True
2023-01-10 11:00:00,800.06,840.67,True,True,True
2023-01-10 12:00:00,967.5,1003.18,True,True,True
2023-01-11 00:00:00,725.99,855.41,True,True,True
2023-01-11 04:00:00,846.63,947.67,True,True,True
2023-01-11 05:00:00,948.04,799.25,True,True,True
2023-01-11 09:00:00,736.21,850.46,True,True,True
2023-01-11 10:00:00,765.66,824.99,True,True,True
2023-01-11 16:00:00,826.45,710.53,True,True,True
2023-01-11 17:00:00,957.31,956.79,True,True,True
2023-01-13 04:00:00,822.5,770.65,True,True,True
2023-01-14 07:00:00,1246.05,968.41,True,True,True
2023-01-14 11:00:00,929.07,716.27,True,True,True
2023-01-15 07:00:00,847.15,995.56,True,True,True
2023-01-15 20:00:00,804.43,707.78,True,True,True
2023-01-16 02:00:00,758.94,1004.9,True,True,True
2023-01-17 02:00:00,762.35,946.93,True,True,True
2023-01-18 03:00:00,739.82,709.87,True,True,True
2023-01-20 03:00:00,720.06,902.23,True,True,True
2023-01-20 09:00:00,759.71,743.46,True,True,True
2023-01-22 09:00:00,709.29,710.23,True,True,True
2023-02-01 08:00:00,728.04,762.19,True,True,True
2023-02-01 10:00:00,728.44,933.0,True,True,True
2023-02-01 12:00:00,753.03,709.58,True,True,True
2023-02-01 14:00:00,751.17,725.65,True,True,True
2023-02-02 00:00:00,729.89,705.22,True,True,True
2023-02-02 02:00:00,709.6,980.46,True,True,True
2023-02-02 06:00:00,705.37,715.96,True,True,True
2023-02-02 08:00:00,712.8,749.87,True,True,True
2023-02-02 18:00:00,827.2,988.9,True,True,True
2023-02-02 20:00:00,704.52,815.95,True,True,True
2023-02-02 21:00:00,709.58,1021.86,True,True,True
2023-02-03 06:00:00,1007.92,860.42,True,True,True
2023-02-03 13:00:00,774.19,720.72,True,True,True
2023-02-04 04:00:00,705.92,892.93,True,True,True
2023-02-05 07:00:00,714.01,1016.93,True,True,True
2023-02-05 11:00:00,719.51,794.33,True,True,True
2023-02-06 04:00:00,782.71,885.52,True,True,True
2023-02-07 04:00:00,722.19,931.74,True,True,True
2023-02-08 03:00:00,778.32,764.03,True,True,True
2023-02-11 06:00:00,1200.31,896.31,True,True,True
2023-02-16 02:00:00,724.8,709.43,True,True,True
2023-02-16 03:00:00,725.87,787.11,True,True,True
2023-02-17 03:00:00,971.99,743.1,True,True,True
2023-02-19 09:00:00,790.63,770.73,True,True,True
2023-02-20 03:00:00,706.0,897.07,True,True,True
2023-02-21 02:00:00,701.18,836.88,True,True,True
2023-02-21 04:00:00,868.5,723.67,True,True,True
2023-02-21 08:00:00,716.19,752.67,True,True,True
2023-02-22 02:00:00,717.67,759.25,True,True,True
2023-02-23 04:00:00,922.97,740.17,True,True,True
2023-02-24 03:00:00,1247.92,735.46,True,True,True
2023-03-02 03:00:00,720.29,877.98,True,True,True
2023-03-03 00:00:00,745.13,740.43,True,True,True
2023-03-06 22:00:00,817.79,721.85,True,True,True
2023-03-14 05:00:00,963.6,854.47,True,True,True
2023-03-16 22:00:00,927.97,711.03,True,True,True
